COQUELUCHE - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação
Período:2024
"Município de notificação";"Casos_confirmados"
  Dados de 2018 atualizados em 08/02/2023, realizada uma validação dos dados.
  Dados de 2019 atualizados em 08/03/2023, corrigidos em 13/06/2023.
  Dados de 2020 atualizados em 08/02/2023, corrigidos em 24/01/2024.
  Dados de 2021 atualizados em 04/01/2024, corrigidos em 17/11/2025.
  Dados de 2022 atualizados em 14/11/2025, dados sujeitos à revisão.
  Dados de 2023 atualizados em 01/11/2025, dados sujeitos à revisão.
  Dados de 2024 atualizados em 04/11/2025, dados sujeitos à revisão.
  Dados de 2025 atualizados em 08/11/2025, dados sujeitos à revisão.
  Os dados do Espírito Santo, notificados no sistema de informação e-SUS VS, foram compilados nos bancos do Sinan dos respectivos anos de notificação.
	Sua última atualização foi em 17/11/2025.
 *Dados disponibilizados no TABNET em novembro de 2025.
 
